,C23. Which of the following do you have access  to?:Mobile phone,C23. Which of the following do you have access  to?:Internet,C23. Which of the following do you have access  to?:Laptop or desktop or tablet,C24.2. Do you own a SIM card that you can use at any time?,C24.2a. Is the SIM card you own registered biometrically to your own National ID,C24.1. Do you personally own a mobile phone?,C25. Is your phone a smart phone or a simple mobile phone?:Smart phone,C25. Is your phone a smart phone or a simple mobile phone?:Simple phone,C25X1. Which of these things do you do when using  USSD  menus?:Get information,C25X1. Which of these things do you do when using  USSD  menus?:Send or receive,C25X1. Which of these things do you do when using  USSD  menus?:Pay for things,C25X2. Which of these things are you using  apps on your phone to do ?:Get information,C25X2. Which of these things are you using  apps on your phone to do ?:Food deliveries,C25X2. Which of these things are you using  apps on your phone to do ?:Send or receive,C25X2. Which of these things are you using  apps on your phone to do ?:Pay for things,Mobile money,Banked,Financial Access Strand,Overlaps in Financial Access
5512,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,MM,Banked,Banked,all
5513,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
5514,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
5515,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,MM,Banked,Banked,all
5516,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,MM,Banked,Banked,all
5517,Yes,No,No,No, ,Yes,No,Yes,No,Yes,Yes, , , , ,MM,Not Banked,Other formal non-bank,non-bank formal only
5518,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
5519,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,MM,Not Banked,Other formal non-bank,informal AND formal
5520,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,MM,Not Banked,Other formal non-bank,non-bank formal only
5521,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Banked,Banked,bank AND formal
5522,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Banked,Banked,all
5523,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
5524,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,MM,Banked,Banked,all
5525,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,non-bank formal only
5526,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,MM,Not Banked,Other formal non-bank,informal AND formal
5527,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
5528,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
5529,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
5530,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
5531,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,MM,Banked,Banked,all
5532,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,MM,Banked,Banked,all
5533,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,non-bank formal only
5534,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Banked,Banked,all
5535,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,non-bank formal only
5536,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes, , , , ,MM,Not Banked,Other formal non-bank,non-bank formal only
5537,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,MM,Not Banked,Other formal non-bank,informal AND formal
5538,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,MM,Not Banked,Other formal non-bank,informal AND formal
5539,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,MM,Banked,Banked,bank AND formal
5540,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes, , , , ,MM,Banked,Banked,all
5541,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
5542,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
5543,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,non-bank formal only
5544,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Banked,Banked,all
5545,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
5546,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
5547,Yes,No,No,No, ,Yes,No,Yes,No,Yes,Yes, , , , ,MM,Banked,Banked,bank AND formal
5548,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,MM,Not Banked,Other formal non-bank,informal AND formal
5549,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
5550,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,non-bank formal only
5551,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,MM,Not Banked,Other formal non-bank,non-bank formal only
5552,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,MM,Banked,Banked,all
5553,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No,No, , , , ,MM,Not Banked,Other formal non-bank,non-bank formal only
5554,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
5555,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
5556,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,non-bank formal only
5557,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,MM,Not Banked,Other formal non-bank,non-bank formal only
5558,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,MM,Not Banked,Other formal non-bank,informal AND formal
5559,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,non-bank formal only
5560,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,MM,Banked,Banked,all
5561,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,MM,Not Banked,Other formal non-bank,non-bank formal only
5562,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No,No, , , , ,MM,Not Banked,Other formal non-bank,non-bank formal only
5563,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,non-bank formal only
5564,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
5565,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,non-bank formal only
5566,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,non-bank formal only
5567,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,non-bank formal only
5568,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes, , , , ,MM,Banked,Banked,all
5569,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
5570,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
5571,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
5572,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,non-bank formal only
5573,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,MM,Banked,Banked,all
5574,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
5575,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
5576,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,MM,Banked,Banked,bank AND formal
5577,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Banked,Banked,all
5578,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
5579,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,MM,Not Banked,Other formal non-bank,informal AND formal
5580,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
5581,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Banked,Banked,bank AND formal
5582,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,non-bank formal only
5583,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
5584,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,MM,Banked,Banked,all
5585,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
5586,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,non-bank formal only
5587,Yes,Yes, ,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,non-bank formal only
5588,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
5589,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,non-bank formal only
5590,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,MM,Not Banked,Other formal non-bank,informal AND formal
5591,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No, , , , ,MM,Not Banked,Other formal non-bank,non-bank formal only
5592,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,MM,Not Banked,Other formal non-bank,informal AND formal
5593,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
5594,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
5595,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,MM,Banked,Banked,bank AND formal
5596,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,MM,Not Banked,Other formal non-bank,informal AND formal
5597,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,MM,Banked,Banked,all
5598,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,non-bank formal only
5599,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,MM,Banked,Banked,all
5600,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Banked,Banked,all
5601,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Banked,Banked,all
5602,No,No,No,No, ,2, , , , , , , , , ,MM,Not Banked,Other formal non-bank,non-bank formal only
5603,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
5604,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,non-bank formal only
5605,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,non-bank formal only
5606,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
5607,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,MM,Banked,Banked,bank AND formal
5608,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No, , , , ,MM,Not Banked,Other formal non-bank,non-bank formal only
5609,Yes,No,No,No, ,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,MM,Not Banked,Other formal non-bank,non-bank formal only
5610,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,MM,Banked,Banked,all
5611,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,MM,Not Banked,Other formal non-bank,informal AND formal
5612,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No,No, , , , ,MM,Not Banked,Other formal non-bank,non-bank formal only
5613,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
5614,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,MM,Not Banked,Other formal non-bank,informal AND formal
5615,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No, , , , ,MM,Not Banked,Other formal non-bank,non-bank formal only
5616,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,MM,Not Banked,Other formal non-bank,informal AND formal
5617,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,MM,Banked,Banked,all
5618,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,non-bank formal only
5619,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,MM,Banked,Banked,all
5620,No,No,No,Yes,No,2, , , , , , , , , ,MM,Not Banked,Other formal non-bank,non-bank formal only
5621,Yes,No,No,No, ,2, , , , , , , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
5622,Yes,No,No,No, ,2, , , , , , , , , ,MM,Not Banked,Other formal non-bank,non-bank formal only
5623,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Banked,Banked,all
5624,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Banked,Banked,bank AND formal
5625,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
5626,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Banked,Banked,all
5627,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes, , , , ,MM,Banked,Banked,all
5628,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
5629,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,MM,Banked,Banked,bank AND formal
5630,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,MM,Banked,Banked,all
5631,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Banked,Banked,all
5632,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
5633,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Banked,Banked,bank AND formal
5634,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,MM,Not Banked,Other formal non-bank,informal AND formal
5635,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
5636,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,No, , , , ,MM,Banked,Banked,all
5637,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,non-bank formal only
5638,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,MM,Banked,Banked,all
5639,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,MM,Banked,Banked,all
5640,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,MM,Not Banked,Other formal non-bank,informal AND formal
5641,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,MM,Not Banked,Other formal non-bank,non-bank formal only
5642,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,non-bank formal only
5643,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,No,MM,Not Banked,Other formal non-bank,non-bank formal only
5644,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
5645,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
5646,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,MM,Banked,Banked,all
5647,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,MM,Banked,Banked,all
5648,Yes,No,No,No, ,Yes,No,Yes,No,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,non-bank formal only
5649,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
5650,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
5651,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,non-bank formal only
5652,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,non-bank formal only
5653,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
5654,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
5655,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,MM,Banked,Banked,all
5656,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,MM,Not Banked,Other formal non-bank,non-bank formal only
5657,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,MM,Banked,Banked,all
5658,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
5659,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,No, , , , ,MM,Banked,Banked,all
5660,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,non-bank formal only
5661,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes, , , , ,MM,Not Banked,Other formal non-bank,non-bank formal only
5662,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,MM,Banked,Banked,all
5663,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
5664,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
5665,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,non-bank formal only
5666,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,MM,Banked,Banked,all
5667,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
5668,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
5669,Yes,No,No,No, ,2, , , , , , , , , ,MM,Not Banked,Other formal non-bank,non-bank formal only
5670,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
5671,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,MM,Banked,Banked,all
5672,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,MM,Banked,Banked,all
5673,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,MM,Not Banked,Other formal non-bank,non-bank formal only
5674,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,MM,Banked,Banked,bank AND formal
5675,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,non-bank formal only
5676,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,MM,Banked,Banked,all
5677,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
5678,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
5679,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,non-bank formal only
5680,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
5681,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
5682,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,non-bank formal only
5683,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
5684,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Banked,Banked,bank AND formal
5685,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,non-bank formal only
5686,Yes, ,No,Yes,Yes,Yes,No,Yes,Yes,No,No, , , , ,MM,Banked,Banked,all
5687,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No, , , , ,MM,Banked,Banked,all
5688,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,non-bank formal only
5689,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
5690,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,MM,Not Banked,Other formal non-bank,non-bank formal only
5691,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
5692,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,MM,Banked,Banked,all
5693,No,No,No,No, ,2, , , , , , , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
5694,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,non-bank formal only
5695,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,MM,Banked,Banked,all
5696,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
5697,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,non-bank formal only
5698,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,non-bank formal only
5699,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
5700,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
5701,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Banked,Banked,bank AND formal
5702,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Banked,Banked,all
5703,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,MM,Banked,Banked,all
5704,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Banked,Banked,bank AND formal
5705,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,non-bank formal only
5706,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,MM,Banked,Banked,all
5707,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
5708,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No, , , , ,MM,Banked,Banked,all
5709,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes, , , , ,MM,Not Banked,Other formal non-bank,informal AND formal
5710,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,MM,Not Banked,Other formal non-bank,informal AND formal
